"Supplied Name","guid","vernacular name","group"
"Asplenium australasicum","urn:lsid:biodiversity.org.au:apni.taxon:319571","Bird's nest fern","Ferns"
"Elusor macrurus","urn:lsid:biodiversity.org.au:afd.taxon:4e005295-064e-43d1-9d4f-c974ac682942","Mary River Tortoise","Reptiles"
"Neoceratodus forsteri","urn:lsid:biodiversity.org.au:afd.taxon:b4c9ed59-8a4f-4ca5-9153-4c164df85bdd","Australian Lungfish","Fish"
"Chaetodon speculum","urn:lsid:biodiversity.org.au:afd.taxon:bb43f4de-3ebe-4349-8567-940bc40007b1","Mirror Butterflyfish","Fish"
"Hardenbergia violacea","urn:lsid:biodiversity.org.au:apni.taxon:697479","Purple Coral Pea","Flowering plants"
"Antaresia childreni","urn:lsid:biodiversity.org.au:afd.taxon:2e002dfa-3957-4a46-97d4-f1d26a711a1b",,"Reptiles"
"Crocodylus johnstoni","urn:lsid:biodiversity.org.au:afd.taxon:82d3ca15-6450-4169-b567-9acab77c66df",,"Reptiles"
"Pseudocolus fusiformis","5b723c58-7de9-4778-ad21-754ec279c8e0","Stinkhorns","Fungi"
"Heleioporus australiacus","urn:lsid:biodiversity.org.au:afd.taxon:fabb32de-4f02-4f26-97a8-919649ebddcc",,"Frogs"
"Xylocopa aruana","urn:lsid:biodiversity.org.au:afd.taxon:818e58b7-8d1a-4daf-adc2-b644fd451467","Carpenter Bee","Invertebrates"
"Phascolarctos cinereus","urn:lsid:biodiversity.org.au:afd.taxon:e9d6fbbd-1505-4073-990a-dc66c930dad6",,"Mammals"
"Chamelaucium uncinatum","urn:lsid:biodiversity.org.au:apni.taxon:437370",,"Flowering plants"
"Pseudophryne corroboree","urn:lsid:biodiversity.org.au:afd.taxon:a3a175f1-4cd6-44cf-bd18-b2ed6992fd4c",,"Frogs"
"Cracticus tibicen","urn:lsid:biodiversity.org.au:afd.taxon:b76f8dcf-fabd-4e48-939c-fd3cafc1887a",,"Birds"
"Megaptera novaeangliae","urn:lsid:biodiversity.org.au:afd.taxon:2ffd6a47-a68c-4ccc-844e-4994639cb3af",,"Mammals"
"Nephila plumipes","urn:lsid:biodiversity.org.au:afd.taxon:dfcb2215-516b-4c8e-9a3d-404bdbbb86a5","Golden Orb-Weaver","Invertebrates"
"Caretta caretta","urn:lsid:biodiversity.org.au:afd.taxon:910b27e8-19c3-4194-b55a-fd95a80ccdf9",,"Reptiles"
"Limnodynastes dumerilii","urn:lsid:biodiversity.org.au:afd.taxon:391711c7-a076-48b1-8f98-1407f7144baa","Eastern Banjo Frog","Frogs"
